Country;Desc_country;SSM;LEI_Code;Name;Finrep;Fin_year_end;TE_20S;LEI_Code_TE20S;TE_19;LEI_Code_TE19;TE_18;LEI_Code_TE18;TR_17;LEI_Code_17;TR_16;LEI_Code_TR16;TR_15;LEI_Code_TR15
AT;Austria;Yes;529900IZ8TASAYR3A694;Sberbank Europe AG;Yes - IFRS;31/12;Y;529900IZ8TASAYR3A694;Y;529900IZ8TASAYR3A694;Y;529900IZ8TASAYR3A694;Y;529900IZ8TASAYR3A694;Y;529900IZ8TASAYR3A694;;
AT;Austria;Yes;529900S9YO2JHTIIDG38;BAWAG Group AG;Yes - IFRS;31/12;Y;529900S9YO2JHTIIDG38;Y;529900S9YO2JHTIIDG38;Y;529900S9YO2JHTIIDG38;Y;5299004SNO5GECIBWJ18;Y;5299004SNO5GECIBWJ18;Y;5299004SNO5GECIBWJ18
AT;Austria;Yes;529900XSTAE561178282;Raiffeisenbankengruppe OÖ Verbund eGen;Yes - IFRS;31/12;Y;529900XSTAE561178282;Y;529900XSTAE561178282;Y;529900XSTAE561178282;Y;529900XSTAE561178282;Y;529900XSTAE561178282;Y;529900XSTAE561178282
AT;Austria;Yes;9ZHRYM6F437SQJ6OUG95;Raiffeisen Bank International AG;Yes - IFRS;31/12;Y;9ZHRYM6F437SQJ6OUG95;Y;9ZHRYM6F437SQJ6OUG95;Y;9ZHRYM6F437SQJ6OUG95;Y;9ZHRYM6F437SQJ6OUG95;;;;
AT;Austria;Yes;AT0000000000043000VB;Volksbanken Verbund;Yes - IFRS;31/12;Y;AT0000000000043000VB;Y;AT0000000000043000VB;Y;AT0000000000043000VB;Y;AT0000000000043000VB;Y;529900D4CD6DIB3CI904;;
AT;Austria;Yes;PQOH26KWDF7CG10L6792;Erste Group Bank AG;Yes - IFRS;31/12;Y;PQOH26KWDF7CG10L6792;Y;PQOH26KWDF7CG10L6792;Y;PQOH26KWDF7CG10L6792;Y;PQOH26KWDF7CG10L6792;Y;PQOH26KWDF7CG10L6792;Y;PQOH26KWDF7CG10L6792
BE;Belgium;Yes;213800X3Q9LSAKRUWY91;KBC Groep;Yes - IFRS;31/12;Y;213800X3Q9LSAKRUWY91;Y;213800X3Q9LSAKRUWY91;Y;213800X3Q9LSAKRUWY91;Y;213800X3Q9LSAKRUWY91;Y;213800X3Q9LSAKRUWY91;Y;213800X3Q9LSAKRUWY91
BE;Belgium;Yes;5493008QOCP58OLEN998;Investeringsmaatschappij Argenta;Yes - IFRS;31/12;Y;5493008QOCP58OLEN998;Y;5493008QOCP58OLEN998;Y;5493008QOCP58OLEN998;Y;5493008QOCP58OLEN998;Y;5493008QOCP58OLEN998;Y;5493008QOCP58OLEN998
BE;Belgium;Yes;A5GWLFH3KM7YV2SFQL84;Belfius Bank;Yes - IFRS;31/12;Y;A5GWLFH3KM7YV2SFQL84;Y;A5GWLFH3KM7YV2SFQL84;Y;A5GWLFH3KM7YV2SFQL84;Y;A5GWLFH3KM7YV2SFQL84;Y;A5GWLFH3KM7YV2SFQL84;Y;A5GWLFH3KM7YV2SFQL84
BE;Belgium;Yes;D3K6HXMBBB6SK9OXH394;Dexia;Yes - IFRS;31/12;Y;D3K6HXMBBB6SK9OXH394;Y;D3K6HXMBBB6SK9OXH394;Y;D3K6HXMBBB6SK9OXH394;Y;D3K6HXMBBB6SK9OXH394;Y;D3K6HXMBBB6SK9OXH394;Y;D3K6HXMBBB6SK9OXH394
