Dataset;Category;DERIVED_TEMPLATE;Item;Item_TR_2020S;Item_TR_2019;Item_TR_2018;Item_TR_2017;Item_TR_2016;Item_TR_2015;Item_TR_2014;Label
tr_oth;Capital;Capital;2020101;2020101;1920101;1820101;1720101;1620101;150101;993401;OWN FUNDS
tr_oth;Capital;Capital;2020102;2020102;1920102;1820102;1720102;1620102;150102;993402;COMMON EQUITY TIER 1 CAPITAL (net of deductions and after applying transitional adjustments)
tr_oth;Capital;Capital;2020103;2020103;1920103;1820103;1720103;1620103;150103;993403;Capital instruments eligible as CET1 Capital (including share premium and net own capital instruments)
tr_oth;Capital;Capital;2020104;2020104;1920104;1820104;1720104;1620104;150104;993405;Retained earnings
tr_oth;Capital;Capital;2020105;2020105;1920105;1820105;1720105;1620105;150105;993406;Accumulated other comprehensive income
tr_oth;Capital;Capital;2020106;2020106;1920106;1820106;1720106;1620106;150106;993409;Other Reserves
tr_oth;Capital;Capital;2020107;2020107;1920107;1820107;1720107;1620107;150107;993410;Funds for general banking risk
tr_oth;Capital;Capital;2020108;2020108;1920108;1820108;1720108;1620108;150108;993411;Minority interest given recognition in CET1 capital
tr_oth;Capital;Capital;2020109;2020109;1920109;1820109;1720109;1620109;150109;993412;Adjustments to CET1 due to prudential filters
tr_oth;Capital;Capital;2020110;2020110;1920110;1820110;1720110;1620110;150110;993414;(-) Intangible assets (including Goodwill)
tr_oth;Capital;Capital;2020111;2020111;1920111;1820111;1720111;1620111;150111;993415;(-) DTAs that rely on future profitability and do not arise from temporary differences net of associated DTLs
tr_oth;Capital;Capital;2020112;2020112;1920112;1820112;1720112;1620112;150112;993416;(-) IRB shortfall of credit risk adjustments to expected losses
tr_oth;Capital;Capital;2020113;2020113;1920113;1820113;1720113;1620113;150113;993417;(-) Defined benefit pension fund assets
tr_oth;Capital;Capital;2020114;2020114;1920114;1820114;1720114;1620114;150114;993418;(-) Reciprocal cross holdings in CET1 Capital
tr_oth;Capital;Capital;2020115;2020115;1920115;1820115;1720115;1620115;150115;993419;(-) Excess deduction from AT1 items over AT1 Capital
tr_oth;Capital;Capital;2020116;2020116;1920116;1820116;1720116;1620116;150116;993420;(-) Deductions related to assets which can alternatively be subject to a 1.250% risk weight
tr_oth;Capital;Capital;2020117;2020117;1920117;1820117;1720117;1620117;150117;993421; (-) Deductions related to assets which can alternatively be subject to a 1.250% risk weight - Of which: from securitisation positions (-)
tr_oth;Capital;Capital;2020118;2020118;1920118;1820118;1720118;1620118;150118;993422;(-) Holdings of CET1 capital instruments of financial sector entities where the institiution does not have a significant investment
tr_oth;Capital;Capital;2020119;2020119;1920119;1820119;1720119;1620119;150119;993423;(-) Deductible DTAs that rely on future profitability and arise from temporary differences
tr_oth;Capital;Capital;2020120;2020120;1920120;1820120;1720120;1620120;150120;993424;(-) Holdings of CET1 capital instruments of financial sector entities where the institiution has a significant investment
