Country_code;Bank_name;LEI_code;"LEI_code used 
for 2014 Stress test"
AT;Promontoria Sacher Holding N.V.;5299004SNO5GECIBWJ18;529900ICA8XQYGIKR372
AT;Erste Group Bank AG;PQOH26KWDF7CG10L6792;PQOH26KWDF7CG10L6792
AT;Raiffeisen-Landesbanken-Holding GmbH;529900JP9C734S1LE008;EVOYOND2GGP3UHGGE885
AT;Raiffeisen-Holding Niederösterreich-Wien registrierte Genossenschaft mit beschränkter Haftung;529900SXEWPJ1MRRX537;529900GPOO9ISPD1EE83
AT;Raiffeisenbankengruppe OÖ Verbund eGen;529900XSTAE561178282;I6SS27Q1Q3385V753S50
BE;KBC Group NV;213800X3Q9LSAKRUWY91;6B2PBRV1FCJDMR45RZ53
BE;Belfius Banque SA;A5GWLFH3KM7YV2SFQL84;A5GWLFH3KM7YV2SFQL84
BE;Dexia NV;D3K6HXMBBB6SK9OXH394;D3K6HXMBBB6SK9OXH394
BE;Investar;5493008QOCP58OLEN998;A6NZLYKYN1UV7VVGFX65
BE;AXA Bank Europe SA;LSGM84136ACA92XCN876;LSGM84136ACA92XCN876
CY;Bank of Cyprus Public Company Limited;PQ0RAP85KK9Z75ONZW93;PQ0RAP85KK9Z75ONZW93
CY;Co -operative Central Bank  Ltd ;5493007F6CE5P22TJ731;5493007F6CE5P22TJ731
CY;Hellenic Bank Public Company Ltd;CXUHEGU3MADZ2CEV7C11;CXUHEGU3MADZ2CEV7C11
DE;Deutsche Zentral-Genossenschaftsbank AG;529900HNOAA1KXQJUQ27;529900HNOAA1KXQJUQ27
DE;Landesbank Baden-Württemberg;B81CK4ESI35472RHJ606;B81CK4ESI35472RHJ606
DE;Deutsche Bank AG;7LTWFZYICNSX8D621K86;7LTWFZYICNSX8D621K86
DE;Commerzbank AG;851WYGNLUQLFZBSYGB56;851WYGNLUQLFZBSYGB56
DE;HASPA Finanzholding;529900JZTYE3W7WQH904;529900JZTYE3W7WQH904
DE;NORD/LB Norddeutsche Landesbank Girozentrale;DSNHHQ2B9X5N6OUJ1236;DSNHHQ2B9X5N6OUJ1236
DE;Aareal Bank AG;EZKODONU5TYHW4PP1R34;EZKODONU5TYHW4PP1R34
DE;Bayerische Landesbank;VDYMYTQGZZ6DU0912C88;VDYMYTQGZZ6DU0912C88
DE;DekaBank Deutsche Girozentrale;0W2PZJM8XOY22M4GG883;0W2PZJM8XOY22M4GG883
DE;Deutsche Apotheker-und Ärztebank eG;5299007S3UH5RKUYDA52;5299007S3UH5RKUYDA52
DE;HSH Nordbank AG;TUKDD90GPC79G1KOE162;TUKDD90GPC79G1KOE162
DE;Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG;391200EEGLNXBBCVKC73;GTQYZJON3I7SXRNJTT73
DE;Hypo Real Estate Holding AG;52990082YOVOZIC8QX60;52990082YOVOZIC8QX60
DE;Landesbank Hessen-Thüringen Girozentrale;DIZES5CFO5K3I5R58746;DIZES5CFO5K3I5R58746
DE;Landeskreditbank Baden-Württemberg–Förderbank;0SK1ILSPWNVBNQWU0W18;0SK1ILSPWNVBNQWU0W18
DE;Landwirtschaftliche Rentenbank;529900Z3J0N6S0F7CT25;529900Z3J0N6S0F7CT25
DE;Münchener Hypothekenbank eG;529900GM944JT8YIRL63;529900GM944JT8YIRL63
DE;NRW.BANK, Düsseldorf;52990002O5KK6XOGJ020;52990002O5KK6XOGJ020
DE;VW Financial Services AG;529900USFSZYPS075O24;529900USFSZYPS075O24
DE;WGZ BANK AG Westdeutsche Genossenschafts-Zentralbank;EFHQAFG69S4HKHLIZA14;EFHQAFG69S4HKHLIZA14
