LEI_code,NSA,Period,Item,AMOUNT
PQOH26KWDF7CG10L6792,AT,201412,150101,15838.823701
PQOH26KWDF7CG10L6792,AT,201412,150102,10622.677531
PQOH26KWDF7CG10L6792,AT,201412,150103,2253.9721629
PQOH26KWDF7CG10L6792,AT,201412,150104,7278.85709
PQOH26KWDF7CG10L6792,AT,201412,150105,-324.9051808
PQOH26KWDF7CG10L6792,AT,201412,150106,851
PQOH26KWDF7CG10L6792,AT,201412,150107,0
PQOH26KWDF7CG10L6792,AT,201412,150108,3078.4697003
PQOH26KWDF7CG10L6792,AT,201412,150109,-301.2037831
PQOH26KWDF7CG10L6792,AT,201412,150110,-1424.79215
PQOH26KWDF7CG10L6792,AT,201412,150111,-103.414
PQOH26KWDF7CG10L6792,AT,201412,150112,-249.0695377
PQOH26KWDF7CG10L6792,AT,201412,150113,0
PQOH26KWDF7CG10L6792,AT,201412,150114,0
PQOH26KWDF7CG10L6792,AT,201412,150115,-943.6250488
PQOH26KWDF7CG10L6792,AT,201412,150116,0
PQOH26KWDF7CG10L6792,AT,201412,150117,0
PQOH26KWDF7CG10L6792,AT,201412,150118,0
PQOH26KWDF7CG10L6792,AT,201412,150119,0
PQOH26KWDF7CG10L6792,AT,201412,150120,0
PQOH26KWDF7CG10L6792,AT,201412,150121,0
PQOH26KWDF7CG10L6792,AT,201412,150122,0
PQOH26KWDF7CG10L6792,AT,201412,150123,507.38827818
PQOH26KWDF7CG10L6792,AT,201412,150124,0
PQOH26KWDF7CG10L6792,AT,201412,150125,102.29448781
PQOH26KWDF7CG10L6792,AT,201412,150126,405.09379037
PQOH26KWDF7CG10L6792,AT,201412,150127,0
PQOH26KWDF7CG10L6792,AT,201412,150128,300
PQOH26KWDF7CG10L6792,AT,201412,150129,-300
PQOH26KWDF7CG10L6792,AT,201412,150130,10622.677531
PQOH26KWDF7CG10L6792,AT,201412,150131,5216.1461697
PQOH26KWDF7CG10L6792,AT,201412,150132,4730.8409312
PQOH26KWDF7CG10L6792,AT,201412,150133,485.3052385
PQOH26KWDF7CG10L6792,AT,201412,150134,100590.42128
PQOH26KWDF7CG10L6792,AT,201412,150135,0.1056032711
PQOH26KWDF7CG10L6792,AT,201412,150136,0.1056032711
PQOH26KWDF7CG10L6792,AT,201412,150137,0.1574585681
PQOH26KWDF7CG10L6792,AT,201412,150201,85556.257107
PQOH26KWDF7CG10L6792,AT,201412,150202,583.0389573
PQOH26KWDF7CG10L6792,AT,201412,150203,0
PQOH26KWDF7CG10L6792,AT,201412,150204,84973.21815
PQOH26KWDF7CG10L6792,AT,201412,150205,3208.6526865
PQOH26KWDF7CG10L6792,AT,201412,150206,0
PQOH26KWDF7CG10L6792,AT,201412,150207,1548.2702824
PQOH26KWDF7CG10L6792,AT,201412,150208,10277.126359
PQOH26KWDF7CG10L6792,AT,201412,150209,0.114844
